Fecha (UTC),Latitud [º],Longitud [º],Profundidad [km],Magnitud [*]
2019-09-21 17:22:44,-29.62,-71.26,58,3.5
2019-01-20 02:46:57,-30.14,-71.27,63,3.4
2019-02-05 20:00:06,-30.25,-71.25,70,3.9
2021-12-11 20:07:55,-29.59,-71.27,54,3.7
2021-07-02 06:31:43,-29.84,-71.2,53,3.4
2022-03-28 03:26:47,-30.37,-71.36,41,3.8
2019-01-20 10:07:48,-30.14,-71.23,66,3.7
2019-01-20 02:27:19,-30.06,-71.29,70,3.7
2019-01-22 06:51:42,-30.14,-71.24,61,3.5
2019-01-20 05:51:16,-30.06,-71.24,62,3.8
2021-10-25 18:45:12,-29.57,-71.26,54,3.7
2022-02-03 10:35:53,-30.6,-71.39,65,4.2
2022-01-10 07:06:33,-30.8,-71.4,45,4.9
2021-05-10 02:49:39,-30.11,-71.32,66,3.7
2022-02-09 05:05:37,-29.57,-71.18,50,3.9
2021-12-22 18:20:32,-29.56,-71.25,52,3.9
2022-04-03 04:41:10,-29.56,-71.25,52,3.9
2021-09-26 09:50:13,-30.04,-71.3,56,4.2
2019-01-20 03:09:41,-30.16,-71.23,60,3.7
2020-11-11 20:36:12,-29.98,-71.43,48,4.1
2019-08-11 00:43:37,-29.91,-71.39,49,3.1
2021-08-31 13:11:27,-29.79,-71.47,61,4.1
2022-02-27 15:39:27,-29.83,-71.17,62,3.7
2022-02-16 23:59:26,-29.82,-71.07,85,4.2
2020-01-03 11:08:14,-29.75,-71.24,62,3.8
2019-01-27 09:52:24,-30.17,-71.28,70,3.9
2022-04-04 23:12:10,-30.19,-71.25,57,4.2
2020-08-12 20:54:36,-30.36,-71.44,55,4
2021-12-26 10:59:25,-30.16,-71.31,64,3.9
2020-06-30 15:20:08,-30.07,-71.4,50,3.4
2022-01-02 14:11:14,-29.92,-71.38,50,3.5
2019-08-23 07:14:46,-30.16,-71.3,66,3.5
2021-10-07 09:56:18,-29.38,-71.08,80,3.9
2019-12-28 13:01:37,-29.85,-71.42,42,3.6
2021-05-17 19:33:43,-30.19,-71.3,64,3.4
2019-01-20 03:27:19,-30.26,-71.24,60,3.9
2019-01-26 07:48:55,-30.09,-71.29,71,3.8
2021-04-26 01:58:50,-30.34,-71.25,28,3.3
2020-11-02 00:18:45,-29.7,-71.19,62,3.1
2020-10-16 04:16:47,-30.36,-71.23,25,3.5
2019-01-21 01:31:09,-30.15,-71.22,61,3.9
2020-12-16 18:37:47,-30.74,-71.42,52,4.6
2021-12-14 06:51:31,-29.65,-71.17,56,3.5
2021-11-18 18:22:12,-29.57,-71.25,55,3.9
2021-09-04 03:29:46,-29.86,-71.18,63,3.8
2018-09-26 16:08:31,-30.11,-71.25,45,3.6
2022-04-01 07:24:54,-29.53,-71.25,54,3.4
2019-08-24 02:33:00,-31.11,-71.39,67,5.3
2019-09-26 20:31:29,-29.88,-71.31,46,5.4
2019-11-04 21:53:24,-31.81,-71.34,56,6.1
2020-02-13 17:08:39,-29.68,-71.43,67,5
2017-02-01 03:07:49,-30.11,-71.27,86,4
2020-02-27 01:36:59,-29.52,-71.06,74,5
2020-05-06 06:36:53,-29.58,-71.11,68,5.2
2021-06-22 19:16:26,-32.1,-71.19,77,5.3
2020-11-26 02:51:11,-31.76,-71.19,49,4.4
2021-01-30 13:16:12,-29.44,-71.0,49,4.4
2021-05-14 00:40:19,-29.68,-71.25,54,3.9
2020-09-12 15:42:11,-31.32,-71.16,68,3.7
2020-10-28 15:39:20,-29.32,-71.19,58,4.3
2020-09-06 01:26:30,-30.42,-71.42,17,3.3
2021-06-08 07:42:24,-29.99,-70.72,70,4.9
2021-02-14 08:46:38,-31.5,-71.16,47,3.5
2021-01-07 07:53:26,-31.84,-71.43,48,4
2021-02-12 09:50:22,-30.71,-71.4,44,4.7
2021-04-01 06:01:50,-29.3,-71.28,61,4.1
2021-02-01 03:56:15,-29.71,-71.3,53,4.1
2020-11-13 23:26:59,-31.77,-71.44,59,4.7
2021-04-02 23:57:42,-31.82,-71.31,59,4.3
2021-01-17 12:32:12,-31.82,-71.41,50,4.4
2021-01-17 18:21:40,-29.45,-71.19,55,3.5
2021-02-11 16:49:55,-29.93,-71.33,44,4.2
2021-06-22 03:47:27,-30.26,-71.25,62,4.2
2021-01-14 09:44:57,-29.97,-71.36,23,3.4
2021-02-14 14:01:54,-29.39,-71.13,45,4.2
2021-11-04 04:18:22,-30.31,-71.22,52,5.2
2021-12-11 14:54:18,-29.54,-71.25,53,5.4
2021-04-16 08:09:52,-30.82,-71.4,46,4.3
2020-11-18 05:31:38,-29.84,-71.13,28,3.9
2021-08-30 05:13:30,-30.57,-71.3,71,4.5
2012-03-03 11:01:47,-30.19,-71.45,35,5.6
2013-10-29 03:40:49,-30.7,-71.28,47,5
2013-12-15 08:01:01,-30.77,-71.39,35,4.5
2013-09-24 17:08:08,-29.83,-71.32,56,4.2
2014-07-13 07:18:25,-30.75,-70.62,83,5.6
2014-06-27 18:30:04,-30.17,-71.12,64,4.5
2014-11-28 08:22:08,-30.31,-71.39,52,4.4
2014-09-15 06:35:19,-31.97,-71.24,85,4.6
2014-07-13 07:18:24,-30.74,-70.67,86,5.7
2014-11-29 13:30:17,-29.78,-71.28,60,4.8
2014-05-12 16:27:27,-29.63,-71.23,65,4.3
2014-07-31 20:40:51,-31.81,-71.23,74,4.7
2014-09-05 20:49:06,-30.66,-71.34,59,4.7
2014-04-04 09:52:07,-31.48,-70.64,106,5.4
2014-11-28 20:55:36,-30.94,-71.46,80,4.2
2014-07-25 01:16:50,-29.64,-71.46,35,4
2014-06-12 12:28:53,-30.75,-70.56,53,5.1
2014-10-12 16:23:12,-30.82,-71.07,76,4.4
2014-12-27 22:06:07,-30.17,-71.47,32,4.6
2014-05-21 09:00:53,-30.45,-71.31,36,5.6
2015-09-17 14:10:38,-30.88,-71.33,43,4.1
2015-08-24 02:42:48,-29.84,-71.24,45,4.3
2015-11-10 19:38:22,-30.82,-71.42,50,4.3
2015-10-04 18:21:53,-30.34,-71.46,31,4.3
2015-05-13 14:40:20,-29.92,-71.28,60,4.5
2015-11-07 10:38:24,-30.78,-71.4,55,4.3
2015-08-10 09:40:07,-29.48,-71.22,55,5.1
2015-09-18 19:21:56,-30.85,-71.35,48,4
2015-08-24 05:13:49,-29.88,-71.25,45,5.2
2015-10-24 14:52:23,-30.04,-71.31,52,4
2015-12-04 08:44:37,-30.8,-71.46,53,4.5
2015-06-01 18:12:27,-30.64,-70.31,10,4.3
2015-10-08 08:46:14,-30.71,-71.45,48,4.1
